position,layer,auc,acc,f1,logloss,ece
prompt_last,0,0.5,0.23529411764705882,0.38095238095238093,0.6931471805599453,0.2647058823529412
prompt_last,1,0.4423076923076923,0.5882352941176471,0.0,1.5125649275610231,0.3923870502656666
prompt_last,2,0.5576923076923077,0.7058823529411765,0.2857142857142857,1.047428213876293,0.3135950035712718
prompt_last,3,0.6346153846153846,0.6470588235294118,0.0,0.7857516408347001,0.20390901709698575
prompt_last,4,0.6923076923076923,0.5882352941176471,0.2222222222222222,0.7330376016403316,0.2888035249757223
prompt_last,5,0.75,0.6470588235294118,0.25,0.618678440377407,0.3110416675231765
prompt_last,6,0.6346153846153846,0.7058823529411765,0.2857142857142857,0.716109904154479,0.2762340363965652
prompt_last,7,0.6538461538461539,0.7647058823529411,0.5,0.7456605195961532,0.2988148065490294
prompt_last,8,0.7115384615384615,0.7058823529411765,0.4444444444444444,0.6761098081778291,0.2667178133468519
prompt_last,9,0.75,0.7647058823529411,0.5,0.5646315653607512,0.24716150327939643
prompt_last,10,0.7307692307692308,0.6470588235294118,0.4,0.8526072299338533,0.3502956001664029
prompt_last,11,0.8461538461538461,0.6470588235294118,0.4,0.6441626358463418,0.30999524420469193
prompt_last,12,0.8846153846153847,0.7647058823529411,0.6,0.4425040350685189,0.21166697891012098
prompt_last,13,0.8076923076923077,0.6470588235294118,0.5,0.6377064546018391,0.27611320752001883
prompt_last,14,0.8076923076923077,0.5882352941176471,0.46153846153846156,0.6485998039609568,0.28847177642253286
prompt_last,15,0.7115384615384615,0.5882352941176471,0.46153846153846156,0.7288903908619774,0.28224350303980067
prompt_last,16,1.0,0.8235294117647058,0.7272727272727273,0.3368083471354164,0.22380366100050234
prompt_last,17,0.9038461538461539,0.8823529411764706,0.75,0.38932229012241043,0.21242435791027756
prompt_last,18,0.75,0.7647058823529411,0.3333333333333333,0.44170473413474415,0.1749896416939782
prompt_last,19,0.9230769230769231,0.8823529411764706,0.75,0.2621647618363774,0.12199186342298134
prompt_last,20,0.9038461538461537,0.7647058823529411,0.6,0.36510164818068885,0.18163865452031233
prompt_last,21,0.7115384615384615,0.5882352941176471,0.36363636363636365,0.7822474326816244,0.31221799303920733
prompt_last,22,0.9423076923076924,0.8823529411764706,0.8,0.35596854917508336,0.13201525600505556
prompt_last,23,0.9423076923076923,0.8823529411764706,0.8,0.28067616240124266,0.11108101324413869
prompt_last,24,0.9423076923076923,0.8823529411764706,0.8,0.3636425518145634,0.13634377925589897
prompt_last,25,0.923076923076923,0.8235294117647058,0.5714285714285714,0.2680326888566501,0.12614096920254797
prompt_last,26,0.9615384615384616,0.9411764705882353,0.8888888888888888,0.19375994532427104,0.14338883376090833
prompt_last,27,0.9615384615384616,0.8823529411764706,0.8,0.2837065444336727,0.16867693077029305
prompt_last,28,0.9807692307692308,0.8823529411764706,0.75,0.21410347432793472,0.09038113891329984
prompt_last,29,1.0,0.9411764705882353,0.8888888888888888,0.12129731562527783,0.097005763188098
prompt_last,30,1.0,0.9411764705882353,0.8888888888888888,0.13214840515162118,0.10117078689925238
prompt_last,31,1.0,0.9411764705882353,0.8888888888888888,0.12927585039802028,0.10058334749316693
prompt_last,32,0.9807692307692308,0.9411764705882353,0.8888888888888888,0.19107149542386725,0.08486934745805133
prompt_last,33,0.9615384615384616,0.9411764705882353,0.8888888888888888,0.2199867777122529,0.13847559666266798
prompt_last,34,0.9615384615384616,0.9411764705882353,0.8888888888888888,0.23056032638362722,0.14821180497743996
prompt_last,35,0.9615384615384616,0.8823529411764706,0.75,0.22283731281508407,0.14547813382131053
prompt_last,36,0.9807692307692308,0.8823529411764706,0.75,0.14699223545606682,0.11007967080322406
